customer_key,customer_id,customer_name,country,ages,age_category,total_orders,total_quantity,total_products,total_sales,customer_type,recent_order,oldest_order,time_period,customer_frequency,avg_spend_of_customer,spend_by_customer,customer_contribution
24,11023,Seth Edwards,United States,41,Mid_aged,2,6,6,122,NEW,2014-01-14,2013-02-17,11,regular customer,20.33,122,0.00%
25,11024,Russell Xie,United States,41,Mid_aged,2,6,5,56,NEW,2013-07-26,2013-06-27,1,new customer,9.33,56,0.00%
26,11025,Alejandro Beck,Australia,74,Senior_Citizen,3,6,6,6577,VIP,2013-10-25,2011-01-06,33,old customer,1096.17,6577,0.02%
27,11026,Harold Sai,Australia,74,Senior_Citizen,3,7,7,6575,VIP,2013-10-15,2011-01-23,33,old customer,939.29,6575,0.02%
28,11027,Jessie Zhao,Australia,73,Senior_Citizen,3,9,9,6591,VIP,2013-10-24,2011-01-16,33,old customer,732.33,6591,0.02%
29,11028,Jill Jimenez,Australia,74,Senior_Citizen,3,5,5,6474,VIP,2013-10-07,2011-01-26,33,old customer,1294.8,6474,0.02%
30,11029,Jimmy Moreno,Australia,73,Senior_Citizen,3,7,7,6565,VIP,2013-11-11,2011-01-19,34,old customer,937.86,6565,0.02%
31,11030,Bethany Yuan,Australia,67,Senior_Citizen,3,4,4,6471,VIP,2013-11-09,2011-02-05,33,old customer,1617.75,6471,0.02%
32,11031,Theresa Ramos,Australia,72,Senior_Citizen,3,6,6,6478,VIP,2013-11-13,2011-02-01,33,old customer,1079.67,6478,0.02%
33,11032,Denise Stone,Australia,73,Senior_Citizen,3,10,10,6525,VIP,2013-11-08,2011-02-18,33,old customer,652.5,6525,0.02%
34,11033,Jaime Nath,Australia,67,Senior_Citizen,3,7,7,6495,VIP,2013-11-05,2011-02-15,33,old customer,927.86,6495,0.02%
35,11034,Ebony Gonzalez,Australia,73,Senior_Citizen,3,4,4,6491,VIP,2013-11-10,2011-02-01,33,old customer,1622.75,6491,0.02%
36,11035,Wendy Dominguez,Australia,72,Senior_Citizen,3,5,5,6451,VIP,2013-11-15,2011-02-06,33,old customer,1290.2,6451,0.02%
37,11036,Jennifer Russell,United States,41,Mid_aged,1,2,2,2355,Regular,2013-01-22,2013-01-22,0,new customer,1177.5,2355,0.01%
38,11037,Chloe Garcia,Canada,42,Mid_aged,1,7,7,2374,Regular,2013-01-20,2013-01-20,0,new customer,339.14,2374,0.01%
39,11038,Diana Hernandez,Australia,72,Senior_Citizen,3,3,3,6437,VIP,2013-11-12,2011-02-07,33,old customer,2145.67,6437,0.02%
40,11039,Marc Martin,Australia,71,Senior_Citizen,3,9,8,6636,VIP,2013-11-11,2011-02-07,33,old customer,737.33,6636,0.02%
41,11040,Jesse Murphy,United States,42,Mid_aged,1,3,3,2351,Regular,2013-04-03,2013-04-03,0,new customer,783.67,2351,0.01%
42,11041,Amanda Carter,United States,42,Mid_aged,1,3,3,2381,Regular,2013-01-14,2013-01-14,0,new customer,793.67,2381,0.01%
43,11042,Megan Sanchez,United States,43,Mid_aged,2,3,3,3112,Regular,2013-10-17,2013-01-21,9,regular customer,1037.33,3112,0.01%
44,11043,Nathan Simmons,United States,44,Mid_aged,2,3,3,48,NEW,2013-08-18,2013-05-08,3,new customer,16,48,0.00%
45,11044,Adam Flores,Australia,71,Senior_Citizen,3,7,7,6515,VIP,2013-11-08,2011-02-28,33,old customer,930.71,6515,0.02%
46,11045,Leonard Nara,Australia,70,Senior_Citizen,2,4,4,115,NEW,2013-10-29,2013-04-10,6,regular customer,28.75,115,0.00%
47,11046,Christine Yuan,Australia,70,Senior_Citizen,3,6,6,6616,VIP,2013-11-12,2011-02-06,33,old customer,1102.67,6616,0.02%
48,11047,Jaclyn Lu,Australia,70,Senior_Citizen,3,4,4,6582,VIP,2013-11-19,2011-02-03,33,old customer,1645.5,6582,0.02%
49,11048,Jeremy Powell,Australia,69,Senior_Citizen,3,8,8,6498,VIP,2013-12-25,2011-02-10,34,old customer,812.25,6498,0.02%
50,11049,Carol Rai,United States,39,Mid_aged,2,5,5,81,NEW,2013-10-29,2013-03-09,7,regular customer,16.2,81,0.00%
51,11050,Alan Zheng,Australia,68,Senior_Citizen,3,6,6,5007,VIP,2013-11-19,2011-02-20,33,old customer,834.5,5007,0.02%
52,11051,Daniel Johnson,Australia,68,Senior_Citizen,2,5,5,124,NEW,2014-01-01,2013-12-29,1,new customer,24.8,124,0.00%
53,11052,Heidi Lopez,Australia,68,Senior_Citizen,3,7,7,8131,VIP,2013-05-27,2011-02-17,27,old customer,1161.57,8131,0.03%
54,11053,Ana Price,United States,39,Mid_aged,1,2,2,2330,Regular,2013-01-17,2013-01-17,0,new customer,1165,2330,0.01%
55,11054,Deanna Munoz,Australia,68,Senior_Citizen,3,6,6,8223,VIP,2013-05-30,2011-02-03,27,old customer,1370.5,8223,0.03%
56,11055,Gilbert Raje,Australia,68,Senior_Citizen,3,8,8,8168,VIP,2013-06-07,2011-01-31,29,old customer,1021,8168,0.03%
57,11056,Michele Nath,Australia,67,Senior_Citizen,3,8,8,8207,VIP,2013-05-31,2011-02-26,27,old customer,1025.88,8207,0.03%
58,11057,Carl Andersen,Australia,55,Mid_aged,3,4,4,8088,VIP,2013-05-21,2011-02-22,27,old customer,2022,8088,0.03%
59,11058,Marc Diaz,Australia,60,Senior_Citizen,3,6,6,8248,VIP,2013-06-04,2011-03-09,27,old customer,1374.67,8248,0.03%
60,11059,Ashlee Andersen,Australia,66,Senior_Citizen,3,7,6,117,NEW,2013-03-16,2013-02-18,1,new customer,16.71,117,0.00%
61,11060,Jon Zhou,Australia,66,Senior_Citizen,3,6,6,8153,VIP,2013-06-25,2011-03-19,27,old customer,1358.83,8153,0.03%
62,11061,Todd Gao,Australia,49,Mid_aged,3,6,6,8129,VIP,2013-06-14,2011-03-13,27,old customer,1354.83,8129,0.03%
63,11062,Noah Powell,United States,44,Mid_aged,1,3,3,2352,Regular,2013-01-07,2013-01-07,0,new customer,784,2352,0.01%
64,11063,Angela Murphy,United States,45,Mid_aged,1,5,5,2373,Regular,2013-01-12,2013-01-12,0,new customer,474.6,2373,0.01%
65,11064,Chase Reed,United States,44,Mid_aged,1,2,2,2305,Regular,2013-01-25,2013-01-25,0,new customer,1152.5,2305,0.01%
66,11065,Jessica Henderson,United States,46,Mid_aged,2,5,4,202,NEW,2014-01-10,2013-02-10,11,regular customer,40.4,202,0.00%
67,11066,Grace Butler,United States,46,Mid_aged,2,5,5,81,NEW,2013-09-19,2013-05-31,4,new customer,16.2,81,0.00%
68,11067,Caleb Carter,United States,43,Mid_aged,2,6,6,105,NEW,2014-01-12,2013-08-18,5,new customer,17.5,105,0.00%
69,11068,Tiffany Liang,Australia,59,Mid_aged,3,9,8,113,NEW,2013-10-08,2013-04-30,6,regular customer,12.56,113,0.00%
70,11069,Carolyn Navarro,Australia,59,Mid_aged,3,3,3,8104,VIP,2013-06-04,2011-04-17,26,old customer,2701.33,8104,0.03%
71,11070,Willie Raji,Australia,65,Senior_Citizen,3,10,9,8165,VIP,2013-06-26,2011-04-28,26,old customer,816.5,8165,0.03%
72,11071,Linda Serrano,Australia,65,Senior_Citizen,3,7,6,110,NEW,2013-12-01,2013-03-01,9,regular customer,15.71,110,0.00%
73,11072,Casey Luo,Australia,65,Senior_Citizen,3,7,7,8194,VIP,2013-06-15,2011-03-31,27,old customer,1170.57,8194,0.03%
74,11073,Amy Ye,Australia,63,Senior_Citizen,3,10,9,192,NEW,2013-08-21,2013-03-23,5,new customer,19.2,192,0.00%
75,11074,Levi Arun,Australia,63,Senior_Citizen,3,7,7,94,NEW,2013-05-27,2013-03-23,2,new customer,13.43,94,0.00%
76,11075,Felicia Jimenez,Australia,62,Senior_Citizen,3,5,5,8068,VIP,2013-06-24,2011-04-28,26,old customer,1613.6,8068,0.03%
77,11076,Blake Anderson,Australia,62,Senior_Citizen,3,4,4,8159,VIP,2013-06-21,2011-04-21,26,old customer,2039.75,8159,0.03%
78,11077,Leah Ye,Australia,62,Senior_Citizen,3,5,5,8169,VIP,2013-06-12,2011-04-15,26,old customer,1633.8,8169,0.03%
79,11078,Gina Martin,Canada,40,Mid_aged,17,31,23,912,NEW,2014-01-28,2013-02-15,11,regular customer,29.42,912,0.00%
80,11079,Donald Gonzalez,Australia,55,Mid_aged,3,5,5,58,NEW,2014-01-01,2013-03-15,10,regular customer,11.6,58,0.00%
81,11080,Damien Chander,Australia,60,Senior_Citizen,3,7,7,8204,VIP,2013-06-23,2011-04-10,26,old customer,1172,8204,0.03%
82,11081,Savannah Baker,United States,53,Mid_aged,2,5,5,104,NEW,2013-04-13,2013-02-12,2,new customer,20.8,104,0.00%
83,11082,Angela Butler,United States,53,Mid_aged,2,6,6,3110,Regular,2013-11-06,2013-01-22,10,regular customer,518.33,3110,0.01%
84,11083,Alyssa Cox,United States,48,Mid_aged,2,5,5,3137,Regular,2013-11-08,2013-01-06,10,regular customer,627.4,3137,0.01%
85,11084,Lucas Phillips,United States,62,Senior_Citizen,2,5,5,3078,Regular,2013-11-21,2013-01-04,10,regular customer,615.6,3078,0.01%
86,11085,Emily Johnson,United States,62,Senior_Citizen,2,5,5,129,NEW,2014-01-08,2013-12-06,1,new customer,25.8,129,0.00%
87,11086,Ryan Brown,United States,62,Senior_Citizen,2,6,6,153,NEW,2013-12-21,2013-07-02,5,new customer,25.5,153,0.00%
88,11087,Tamara Liang,United States,62,Senior_Citizen,2,4,4,200,NEW,2013-08-09,2013-02-25,6,regular customer,50,200,0.00%
89,11088,Hunter Davis,United States,62,Senior_Citizen,2,7,7,3176,Regular,2013-11-12,2013-01-13,10,regular customer,453.71,3176,0.01%
90,11089,Abigail Price,United States,63,Senior_Citizen,2,7,7,3188,Regular,2013-11-18,2012-12-29,11,regular customer,455.43,3188,0.01%
91,11090,Trevor Bryant,United States,57,Mid_aged,3,6,6,6703,VIP,2013-11-21,2011-08-07,27,old customer,1117.17,6703,0.02%
92,11091,Dalton Perez,Canada,63,Senior_Citizen,28,59,25,1186,Regular,2014-01-08,2013-01-29,12,regular customer,20.1,1186,0.00%
93,11092,Cheryl Diaz,Australia,53,Mid_aged,3,5,5,8110,VIP,2013-06-21,2011-04-08,26,old customer,1622,8110,0.03%
94,11093,Aimee He,Australia,47,Mid_aged,3,7,7,8180,VIP,2013-06-08,2011-04-07,26,old customer,1168.57,8180,0.03%
95,11094,Cedric Ma,Australia,58,Mid_aged,3,8,8,236,NEW,2014-01-11,2013-04-07,9,regular customer,29.5,236,0.00%
96,11095,Chad Kumar,Australia,57,Mid_aged,3,7,7,8158,VIP,2013-06-25,2011-04-01,26,old customer,1165.43,8158,0.03%
97,11096,Andrâ”œÂ®s Anand,Australia,57,Mid_aged,3,4,4,8063,VIP,2013-07-30,2011-04-11,27,old customer,2015.75,8063,0.03%
98,11097,Edwin Nara,Australia,53,Mid_aged,3,5,5,8099,VIP,2013-07-24,2011-04-04,27,old customer,1619.8,8099,0.03%
99,11098,Mallory Rubio,Australia,59,Mid_aged,3,4,4,89,NEW,2013-10-16,2013-02-11,8,regular customer,22.25,89,0.00%
100,11099,Adam Ross,Australia,59,Mid_aged,3,9,8,8216,VIP,2013-07-01,2011-04-07,27,old customer,912.89,8216,0.03%
101,11100,Latasha Navarro,Australia,59,Mid_aged,3,7,7,8172,VIP,2013-08-07,2011-04-16,28,old customer,1167.43,8172,0.03%
102,11101,Abby Sai,Australia,55,Mid_aged,3,7,7,8262,VIP,2013-06-29,2011-04-29,26,old customer,1180.29,8262,0.03%
103,11102,Julia Nelson,Australia,55,Mid_aged,3,5,5,103,NEW,2013-12-09,2013-07-16,5,new customer,20.6,103,0.00%
104,11103,Cassie Chande,Australia,44,Mid_aged,3,8,8,8182,VIP,2013-06-06,2011-04-15,26,old customer,1022.75,8182,0.03%
105,11104,Edgar Sara,Australia,50,Mid_aged,3,6,6,8173,VIP,2013-06-15,2011-05-04,25,old customer,1362.17,8173,0.03%
106,11105,Candace Fernandez,Australia,55,Mid_aged,3,5,5,8096,VIP,2013-06-05,2011-05-14,25,old customer,1619.2,8096,0.03%
107,11106,Jessie Liu,Australia,55,Mid_aged,3,3,3,8079,VIP,2013-06-15,2011-05-18,25,old customer,2693,8079,0.03%
108,11107,Bianca Lin,Australia,49,Mid_aged,3,6,6,8171,VIP,2013-06-21,2011-05-01,25,old customer,1361.83,8171,0.03%
109,11108,Kari Alvarez,Australia,56,Mid_aged,3,5,5,8124,VIP,2013-06-23,2011-05-03,25,old customer,1624.8,8124,0.03%
110,11109,Ruben Kapoor,Australia,45,Mid_aged,3,8,8,8245,VIP,2013-06-24,2011-05-10,25,old customer,1030.63,8245,0.03%
111,11110,Curtis Yang,Australia,58,Mid_aged,3,5,5,8093,VIP,2013-08-20,2011-05-01,27,old customer,1618.6,8093,0.03%
112,11111,Meredith Gutierrez,Australia,58,Mid_aged,3,8,8,8137,VIP,2013-08-22,2011-05-20,27,old customer,1017.13,8137,0.03%
113,11112,Crystal Wang,Australia,57,Mid_aged,3,6,6,8295,VIP,2013-09-02,2011-05-25,28,old customer,1382.5,8295,0.03%
114,11113,Micheal Blanco,Australia,52,Mid_aged,3,7,7,110,NEW,2013-04-21,2013-02-01,2,new customer,15.71,110,0.00%
115,11114,Leslie Moreno,Australia,58,Mid_aged,3,7,6,123,NEW,2013-12-26,2013-03-18,9,regular customer,17.57,123,0.00%
116,11115,Alvin Cai,Australia,58,Mid_aged,3,6,6,114,NEW,2014-01-02,2013-02-10,11,regular customer,19,114,0.00%
117,11116,Clinton Carlson,Australia,46,Mid_aged,3,7,7,149,NEW,2013-10-16,2013-03-15,7,regular customer,21.29,149,0.00%
118,11117,April Deng,Australia,59,Mid_aged,3,8,8,8185,VIP,2013-06-25,2011-05-06,25,old customer,1023.13,8185,0.03%
119,11118,Alvin Zeng,Australia,63,Senior_Citizen,3,8,6,124,NEW,2014-01-26,2013-07-10,6,regular customer,15.5,124,0.00%
120,11119,Evan James,Australia,85,Senior_Citizen,2,4,4,85,NEW,2013-11-23,2013-02-03,9,regular customer,21.25,85,0.00%
121,11120,Beth Jimâ”œÂ®nez,Australia,83,Senior_Citizen,3,10,10,8242,VIP,2013-09-19,2011-05-14,28,old customer,824.2,8242,0.03%
122,11121,Orlando Suarez,Australia,59,Mid_aged,3,6,5,58,NEW,2013-11-04,2013-06-24,5,new customer,9.67,58,0.00%
123,11122,Byron Vazquez,Australia,60,Senior_Citizen,3,3,3,43,NEW,2013-08-22,2013-02-21,6,regular customer,14.33,43,0.00%
124,11123,Philip Alvarez,Australia,60,Senior_Citizen,3,8,7,150,NEW,2014-01-25,2013-04-17,9,regular customer,18.75,150,0.00%
125,11124,Ross Jordan,Australia,57,Mid_aged,3,6,6,8129,VIP,2013-06-18,2011-05-05,25,old customer,1354.83,8129,0.03%
126,11125,Dana Navarro,Australia,64,Senior_Citizen,3,7,7,79,NEW,2013-07-03,2013-01-31,6,regular customer,11.29,79,0.00%
127,11126,Shaun Carson,Australia,71,Senior_Citizen,3,8,7,4971,Regular,2013-11-03,2011-05-28,30,old customer,621.38,4971,0.02%
128,11127,Jan Edwards,United States,44,Mid_aged,2,3,3,44,NEW,2013-10-01,2013-04-10,6,regular customer,14.67,44,0.00%
129,11128,Samantha Long,United States,44,Mid_aged,2,7,7,144,NEW,2013-08-12,2013-06-19,2,new customer,20.57,144,0.00%
130,11129,Julia Wright,United States,44,Mid_aged,2,2,2,5873,VIP,2013-01-09,2011-08-06,17,regular customer,2936.5,5873,0.02%
131,11130,Caroline Russell,United States,40,Mid_aged,1,2,2,37,NEW,2013-12-09,2013-12-09,0,new customer,18.5,37,0.00%
132,11131,Amanda Rivera,Canada,40,Mid_aged,5,9,9,166,NEW,2014-01-23,2013-10-18,3,new customer,18.44,166,0.00%
133,11132,Melissa Richardson,Canada,39,Mid_aged,1,6,6,2372,Regular,2013-04-09,2013-04-09,0,new customer,395.33,2372,0.01%
134,11133,Angela Griffin,United States,39,Mid_aged,1,4,4,72,NEW,2013-12-30,2013-12-30,0,new customer,18,72,0.00%
135,11134,Larry Townsend,Australia,68,Senior_Citizen,3,3,3,4911,Regular,2013-11-03,2011-05-03,30,old customer,1637,4911,0.02%
136,11135,Marcus Harris,United States,40,Mid_aged,1,3,3,2335,Regular,2013-04-18,2013-04-18,0,new customer,778.33,2335,0.01%
137,11136,Brianna Morgan,Canada,41,Mid_aged,1,3,3,2381,Regular,2013-01-03,2013-01-03,0,new customer,793.67,2381,0.01%
138,11137,Jasmine Taylor,United States,41,Mid_aged,2,5,4,202,NEW,2014-01-20,2013-07-31,6,regular customer,40.4,202,0.00%
139,11138,Lauren Davis,United States,41,Mid_aged,2,4,4,79,NEW,2013-12-31,2013-09-19,3,new customer,19.75,79,0.00%
140,11139,Tanya Moreno,Australia,76,Senior_Citizen,2,3,3,84,NEW,2013-10-17,2013-09-14,1,new customer,28,84,0.00%
141,11140,Javier Alvarez,United States,43,Mid_aged,1,2,2,40,NEW,2013-03-19,2013-03-19,0,new customer,20,40,0.00%
142,11141,Nicole Ramirez,United States,43,Mid_aged,2,5,5,114,NEW,2013-09-28,2013-05-16,4,new customer,22.8,114,0.00%
143,11142,Eduardo Patterson,Canada,42,Mid_aged,17,36,23,979,NEW,2014-01-13,2013-02-13,11,regular customer,27.19,979,0.00%
144,11143,Jonathan Henderson,United States,43,Mid_aged,2,5,4,48,NEW,2013-12-19,2013-06-15,6,regular customer,9.6,48,0.00%
145,11144,Edward Hernandez,United States,40,Mid_aged,1,3,3,2400,Regular,2013-01-25,2013-01-25,0,new customer,800,2400,0.01%
146,11145,Jasmine Coleman,United States,40,Mid_aged,1,3,3,2310,Regular,2013-01-25,2013-01-25,0,new customer,770,2310,0.01%
147,11146,Karla Goel,Australia,80,Senior_Citizen,3,7,6,113,NEW,2013-09-15,2013-02-05,7,regular customer,16.14,113,0.00%
148,11147,Ernest Wu,Australia,81,Senior_Citizen,3,7,7,8195,VIP,2013-10-16,2011-05-13,29,old customer,1170.71,8195,0.03%
149,11148,Ross Vazquez,Australia,78,Senior_Citizen,3,6,5,126,NEW,2013-12-03,2013-03-07,9,regular customer,21,126,0.00%
150,11149,Theodore Gill,Australia,79,Senior_Citizen,3,4,4,41,NEW,2013-11-29,2013-06-04,5,new customer,10.25,41,0.00%
151,11150,Russell Shen,Australia,79,Senior_Citizen,3,8,7,192,NEW,2013-07-15,2013-03-27,4,new customer,24,192,0.00%
152,11151,Melinda Gill,Australia,78,Senior_Citizen,3,6,6,8087,VIP,2013-10-20,2011-05-15,29,old customer,1347.83,8087,0.03%
153,11152,James Williams,United States,44,Mid_aged,1,1,1,2295,Regular,2013-01-09,2013-01-09,0,new customer,2295,2295,0.01%
154,11153,Angela James,United States,44,Mid_aged,2,5,5,110,NEW,2013-03-29,2013-03-29,0,new customer,22,110,0.00%
155,11154,Megan Walker,United States,43,Mid_aged,1,1,1,2320,Regular,2013-01-10,2013-01-10,0,new customer,2320,2320,0.01%
156,11155,Hunter Robinson,United States,44,Mid_aged,1,1,1,2320,Regular,2013-01-06,2013-01-06,0,new customer,2320,2320,0.01%
157,11156,Maria Roberts,United States,44,Mid_aged,1,4,4,2390,Regular,2013-01-08,2013-01-08,0,new customer,597.5,2390,0.01%
158,11157,Hannah Long,United States,45,Mid_aged,2,3,3,41,NEW,2013-09-11,2013-07-24,2,new customer,13.67,41,0.00%
159,11158,Jason Wright,United States,44,Mid_aged,1,3,3,2396,Regular,2013-01-19,2013-01-19,0,new customer,798.67,2396,0.01%
160,11159,Brianna Hughes,United States,44,Mid_aged,2,5,4,48,NEW,2013-11-07,2013-09-08,2,new customer,9.6,48,0.00%
161,11160,Maurice Tang,United States,46,Mid_aged,1,2,2,2322,Regular,2013-02-21,2013-02-21,0,new customer,1161,2322,0.01%
162,11161,Emily Wood,United States,46,Mid_aged,2,6,6,94,NEW,2013-11-11,2013-06-01,5,new customer,15.67,94,0.00%
163,11162,Chase Cox,United States,46,Mid_aged,1,2,2,2330,Regular,2013-02-18,2013-02-18,0,new customer,1165,2330,0.01%
164,11163,Gabriel Wang,United States,45,Mid_aged,2,4,4,46,NEW,2013-08-05,2013-05-01,3,new customer,11.5,46,0.00%
165,11164,Devin Brooks,United States,46,Mid_aged,2,6,6,145,NEW,2013-08-05,2013-04-27,4,new customer,24.17,145,0.00%
166,11165,Jocelyn Alexander,United States,46,Mid_aged,2,3,3,103,NEW,2013-06-05,2013-05-25,1,new customer,34.33,103,0.00%
167,11166,Ashley Martinez,United States,48,Mid_aged,2,5,5,88,NEW,2013-12-06,2013-10-14,2,new customer,17.6,88,0.00%
168,11167,Jasmine Barnes,United States,47,Mid_aged,2,4,4,3126,Regular,2013-11-28,2013-01-07,10,regular customer,781.5,3126,0.01%
169,11168,David Rodriguez,United States,52,Mid_aged,2,7,7,3136,Regular,2013-11-16,2013-01-15,10,regular customer,448,3136,0.01%
170,11169,Bryce Richardson,United States,52,Mid_aged,2,5,5,81,NEW,2013-09-24,2013-05-26,4,new customer,16.2,81,0.00%
171,11170,Carol Howard,United States,52,Mid_aged,2,7,7,157,NEW,2013-12-29,2013-08-26,4,new customer,22.43,157,0.00%
172,11171,Jonathan Hill,United States,47,Mid_aged,3,8,8,6716,VIP,2013-11-07,2011-08-20,27,old customer,839.5,6716,0.02%
173,11172,Gabrielle Adams,United States,52,Mid_aged,2,7,6,129,NEW,2014-01-11,2013-05-03,8,regular customer,18.43,129,0.00%
174,11173,Sarah Thomas,United States,52,Mid_aged,2,3,3,103,NEW,2013-12-24,2013-03-02,9,regular customer,34.33,103,0.00%
175,11174,Nicholas Robinson,United States,52,Mid_aged,2,5,4,48,NEW,2013-07-25,2013-07-13,0,new customer,9.6,48,0.00%
176,11175,Luis Wang,United States,57,Mid_aged,3,8,8,6710,VIP,2013-11-03,2011-08-28,27,old customer,838.75,6710,0.02%
177,11176,Mason Roberts,Canada,46,Mid_aged,28,60,27,1317,Regular,2014-01-27,2013-02-02,11,regular customer,21.95,1317,0.00%
178,11177,Jose Flores,United States,77,Senior_Citizen,2,6,6,135,NEW,2013-10-14,2013-03-29,7,regular customer,22.5,135,0.00%
179,11178,Nathan Johnson,United States,71,Senior_Citizen,2,6,6,145,NEW,2013-05-26,2013-02-21,3,new customer,24.17,145,0.00%
180,11179,Molly Rodriguez,United States,66,Senior_Citizen,2,6,6,125,NEW,2014-01-09,2013-03-12,10,regular customer,20.83,125,0.00%
181,11180,April Anand,United States,77,Senior_Citizen,2,6,6,138,NEW,2013-09-25,2013-03-17,6,regular customer,23,138,0.00%
182,11181,Devin Martin,United States,65,Senior_Citizen,2,3,3,41,NEW,2013-07-11,2013-05-07,2,new customer,13.67,41,0.00%
183,11182,Stephanie Torres,United States,75,Senior_Citizen,2,5,5,81,NEW,2014-01-05,2013-08-28,5,new customer,16.2,81,0.00%
184,11183,Jasmine Lee,United States,75,Senior_Citizen,2,4,4,46,NEW,2013-06-13,2013-04-30,2,new customer,11.5,46,0.00%
185,11184,Meghan Hernandez,United States,70,Senior_Citizen,2,5,5,68,NEW,2013-10-09,2013-08-10,2,new customer,13.6,68,0.00%
186,11185,Ashley Henderson,Canada,75,Senior_Citizen,27,68,29,1616,Regular,2014-01-26,2013-02-21,11,regular customer,23.76,1616,0.01%
187,11186,Sarah Price,United States,76,Senior_Citizen,2,3,3,41,NEW,2014-01-07,2013-10-18,3,new customer,13.67,41,0.00%
188,11187,Jennifer Cooper,United States,76,Senior_Citizen,2,4,4,108,NEW,2013-08-06,2013-04-03,4,new customer,27,108,0.00%
189,11188,Catherine Morris,United States,75,Senior_Citizen,2,5,5,81,NEW,2014-01-21,2013-11-01,2,new customer,16.2,81,0.00%
190,11189,Lawrence Blanco,United States,75,Senior_Citizen,2,6,6,5944,VIP,2013-02-05,2011-08-26,18,regular customer,990.67,5944,0.02%
191,11190,Carson Bryant,United States,76,Senior_Citizen,2,4,4,46,NEW,2014-01-16,2013-08-28,5,new customer,11.5,46,0.00%
192,11191,Kristi Perez,United States,74,Senior_Citizen,3,7,7,6743,VIP,2013-11-06,2011-08-11,27,old customer,963.29,6743,0.02%
193,11192,James Brown,United States,74,Senior_Citizen,2,5,5,114,NEW,2013-09-25,2013-06-23,3,new customer,22.8,114,0.00%
194,11193,Ian Gray,United States,75,Senior_Citizen,2,3,3,41,NEW,2013-08-18,2013-02-25,6,regular customer,13.67,41,0.00%
